Paper Title,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
Wayback Machine: A tool to capture the evolutionary behavior of the bug reports and their triage process in open-source software systems,"Bug tracking systems, Triage process, Evolutionary metrics, Developer loads, Open-source projects",Hadi Jahanshahi,Male,"Data Science Lab at Ryerson University, Toronto, Canada",Canada,1,0,1,0,0,1,0,0,1,0,0,1,1,0
,,Mucahit Cevik,Male,"Data Science Lab at Ryerson University, Toronto, Canada",Canada,1,0,1,0,0,1,0,0,0,1,1,0,1,0
,,José Navas-Sú,Male,"Computer Engineering Department at Costa Rica Institute of Technology, Cartago, Costa Rica",Costa Rica,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,,Ayşe Başar,Female,"Data Science Lab at Ryerson University, Toronto, Canada",Canada,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,Antonio González-Torres,Male,"Computer Engineering Department at Costa Rica Institute of Technology, Cartago, Costa Rica",Costa Rica,0,0,0,0,0,0,0,0,0,1,0,0,0,0
What factors affect the UX in mobile apps? A systematic mapping study on the analysis of app store reviews,"User Experience, Mobile Apps, App Store Reviews, Sentiment Analysis, Systematic Mapping Study",Walter T. Nakamura,Male,"Federal University of Technology – Paraná (UTFPR), Federal University of Amazonas (UFAM)",Brazil,1,1,1,0,1,1,0,0,0,0,0,1,1,0
,,Edson Cesar de Oliveira,Male,Secretaria de Estado da Fazenda do Amazonas – SEFAZ/AM,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Elaine H.T. de Oliveira,Female,Federal University of Amazonas (UFAM),Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,David Redmiles,Male,University of California Irvine (UCI),United States of America,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,Tayana Conte,Female,Federal University of Amazonas (UFAM),Brazil,0,0,0,0,0,0,0,0,0,1,1,0,0,1
When traceability goes awry: An industrial experience report,"traceability, software quality, requirements, test cases, industrial collaboration",Davide Fucci,Male,"SERL, Blekinge Institute of Technology, Valhallavagen 1, Karlskrona, 37141, Sweden",Sweden,1,1,1,0,1,1,0,0,0,0,0,1,1,1
,,Emil Alégroth,Male,"SERL, Blekinge Institute of Technology, Valhallavagen 1, Karlskrona, 37141, Sweden",Sweden,1,0,0,0,0,1,0,0,0,0,0,0,1,1
,,Thomas Axelsson,Male,"COMPANY, Karlskrona, Sweden",Sweden,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Which builds are really safe to skip? Maximizing failure observation for build selection in continuous integration,"CI, computational cost, build selection, empirical studies, software development",Xianhao Jin,Male,"Department of Computer Science, Virginia Tech, Virginia, United States of America",United States of America,1,1,1,0,1,1,0,0,1,0,1,1,1,1
,,Francisco Servant,Male,"Departamento de Teoría de la Señal y las Comunicaciones y Sistemas Telemáticos y Computación, Universidad Rey Juan Carlos, Madrid, Spain; Department of Computer Science, Virginia Tech, Virginia, United States of America","Spain, United States of America",1,1,1,1,1,1,0,0,1,1,1,1,1,1
Why and how is Scrum being adapted in practice: A systematic review ✩,"Agile development, Scrum adaptation, Non-traditional software, Modification strategies, Distributed development",Michal Hron,Male,"Aarhus University, Fuglesangs Allé 4, 8210 Aarhus V",Denmark,1,1,1,0,0,1,0,0,1,0,0,1,1,1
,,Nikolaus Obwegeser,Male,"Bern University of Applied Sciences, Brückenstr. 73, 3005 Bern",Switzerland,0,0,1,0,0,1,0,0,0,1,1,0,1,1
,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,
